user_id,total_draws,completed_draws,first_draw_time,last_draw_time,free_unlock_draws,paid_unlock_draws,diamond_unlock_draws,coin_draws,diamond_generated,total_consumption,平台,App版本,渠道,新老用户,付费状态,提现系统版本,scratch_completed_user,repeat_draw_user,draw_eq_10_user,draw_ge_10_user,draw_count_bucket
30555479,30,30,2026-06-06 23:33:45.302,2026-06-10 22:59:02.758,30,0,0,0,3950,0,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
30751685,1,1,2026-06-07 10:46:31.100,2026-06-07 10:46:31.100,0,0,1,0,1100,1500,iOS,1.9.76,(direct),New User,Non-paid,钻石提现版本,True,False,False,False,1
31717352,1,0,2026-06-01 16:17:13.041,2026-06-01 16:17:13.041,1,0,0,1,100,0,Android,2.0.04,(direct),New User,Non-paid,钻石提现版本,False,False,False,False,1
32066704,10,10,2026-06-04 02:28:52.929,2026-06-04 02:42:52.339,0,6,4,0,4200,15000,Android,2.0.05,(direct),Old User,Non-paid,钻石提现版本,True,True,True,True,10+
32258991,2,2,2026-06-05 21:48:43.033,2026-06-07 07:29:35.477,1,0,1,0,800,1500,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
32339767,1,1,2026-05-31 06:48:40.207,2026-05-31 06:48:40.207,1,0,0,0,100,0,iOS,1.9.74,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
33674881,1,1,2026-06-08 23:08:04.071,2026-06-08 23:08:04.071,1,0,0,0,150,0,iOS,1.9.76,(direct),New User,Non-paid,钻石提现版本,True,False,False,False,1
33945181,1,0,2026-05-29 01:42:11.899,2026-05-29 01:42:11.899,0,0,1,1,0,1500,iOS,1.9.74,getit,Old User,Non-paid,钻石提现版本,False,False,False,False,1
34834236,25,25,2026-06-07 02:38:43.513,2026-06-08 07:37:30.272,20,0,5,0,6050,7500,iOS,1.9.76,(direct),New User,Paid,钻石提现版本,True,True,False,True,10+
35826393,42,42,2026-05-29 00:44:41.134,2026-06-10 03:15:32.397,42,0,0,0,4600,0,iOS,1.9.74,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
37515427,3,2,2026-06-08 01:18:20.888,2026-06-09 05:05:12.652,0,0,3,1,1200,4500,Android,2.0.06,(direct),New User,Non-paid,钻石提现版本,True,True,False,False,2-3
38049287,4,4,2026-06-06 02:11:07.297,2026-06-06 02:17:20.830,4,0,0,0,300,0,iOS,1.9.76,(direct),New User,Non-paid,钻石提现版本,True,True,False,False,4-5
38060757,1,1,2026-06-05 19:27:35.042,2026-06-05 19:27:35.042,0,0,1,0,0,1500,iOS,1.9.76,(direct),New User,Paid,钻石提现版本,True,False,False,False,1
38223738,5,5,2026-06-01 03:31:07.478,2026-06-01 03:31:07.561,0,0,5,0,1400,7500,Android,2.0.03,AppReferral,Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
39552416,2,2,2026-06-07 22:02:57.751,2026-06-07 22:03:54.305,2,0,0,0,200,0,iOS,1.9.76,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
39683927,10,10,2026-05-29 14:09:48.528,2026-05-29 14:46:12.544,8,0,2,0,1000,3000,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,True,True,10+
41178691,12,12,2026-05-28 22:06:50.309,2026-06-02 23:40:57.549,0,10,2,0,7100,18000,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,True,False,True,10+
41222878,7,7,2026-06-09 02:30:39.322,2026-06-09 02:33:33.300,7,0,0,0,650,0,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,6-9
41629673,1,1,2026-05-30 11:05:20.785,2026-05-30 11:05:20.785,0,0,1,0,0,1500,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,True,False,False,False,1
41980790,2,2,2026-06-08 11:55:04.831,2026-06-10 04:37:46.656,0,0,2,0,0,3000,Android,2.0.06,(direct),Old User,Paid,钻石提现版本,True,True,False,False,2-3
42417691,1,1,2026-06-10 01:07:52.509,2026-06-10 01:07:52.509,0,0,1,0,0,1500,Android,2.0.06,apps.facebook.com,Old User,Paid,钻石提现版本,True,False,False,False,1
43151571,11,11,2026-06-06 12:30:04.629,2026-06-07 11:10:48.360,0,0,11,0,9900,16500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
43320466,8,8,2026-05-28 06:41:58.165,2026-06-06 19:31:50.670,0,0,8,0,20100,12000,Android,2.0.02,google,Old User,Non-paid,钻石提现版本,True,True,False,False,6-9
43516139,3,3,2026-05-28 06:40:38.970,2026-06-07 18:42:41.373,1,0,2,0,100,3000,iOS,1.9.73,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
43768033,1,0,2026-06-07 21:22:48.512,2026-06-07 21:22:48.512,0,0,1,1,900,1500,iOS,1.9.73,frog,Old User,Non-paid,钻石提现版本,False,False,False,False,1
44215364,7,7,2026-05-30 10:50:34.880,2026-06-01 06:13:28.309,0,0,7,0,3200,10500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,6-9
44536809,1,1,2026-06-06 07:43:28.406,2026-06-06 07:43:28.406,0,0,1,0,0,1500,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,False,False,False,1
